Date ,Open,Close,Label
7/1/2016,"2,099.34","2,102.95",1
6/30/2016,"2,073.17","2,098.86",1
6/29/2016,"2,042.69","2,070.77",1
6/28/2016,"2,006.67","2,036.09",1
6/27/2016,"2,031.45","2,000.54",0
6/24/2016,"2,103.81","2,037.41",0
6/23/2016,"2,092.80","2,113.32",1
6/22/2016,"2,089.75","2,085.45",0
6/21/2016,"2,085.19","2,088.90",1
6/20/2016,"2,075.58","2,083.25",1
6/17/2016,"2,078.20","2,071.22",0
6/16/2016,"2,066.36","2,077.99",1
6/15/2016,"2,077.60","2,071.50",0
6/14/2016,"2,076.65","2,075.32",0
6/13/2016,"2,091.75","2,079.06",0
6/10/2016,"2,109.57","2,096.07",0
6/9/2016,"2,115.65","2,115.48",0
6/8/2016,"2,112.71","2,119.12",1
6/7/2016,"2,110.18","2,112.13",1
6/6/2016,"2,100.83","2,109.41",1
6/3/2016,"2,104.07","2,099.13",0
6/2/2016,"2,097.71","2,105.26",1
6/1/2016,"2,093.94","2,099.33",1
5/31/2016,"2,100.13","2,096.95",0
5/27/2016,"2,090.06","2,099.06",1
5/26/2016,"2,091.44","2,090.10",0
5/25/2016,"2,078.93","2,090.54",1
5/24/2016,"2,052.65","2,076.06",1
5/23/2016,"2,052.23","2,048.04",0
5/20/2016,"2,041.88","2,052.32",1
5/19/2016,"2,044.21","2,040.04",0
5/18/2016,"2,044.38","2,047.63",1
5/17/2016,"2,065.04","2,047.21",0
5/16/2016,"2,046.53","2,066.66",1
5/13/2016,"2,062.50","2,046.61",0
5/12/2016,"2,067.17","2,064.11",0
5/11/2016,"2,083.29","2,064.46",0
5/10/2016,"2,062.63","2,084.39",1
5/9/2016,"2,057.55","2,058.69",1
5/6/2016,"2,047.77","2,057.14",1
5/5/2016,"2,052.95","2,050.63",0
5/4/2016,"2,060.30","2,051.12",0
5/3/2016,"2,077.18","2,063.37",0
5/2/2016,"2,067.17","2,081.43",1
4/29/2016,"2,071.82","2,065.30",0
4/28/2016,"2,090.93","2,075.81",0
4/27/2016,"2,092.33","2,095.15",1
4/26/2016,"2,089.84","2,091.70",1
4/25/2016,"2,089.37","2,087.79",0
4/22/2016,"2,091.49","2,091.58",1
4/21/2016,"2,102.09","2,091.48",0
4/20/2016,"2,101.52","2,102.40",1
4/19/2016,"2,096.05","2,100.80",1
4/18/2016,"2,078.83","2,094.34",1
4/15/2016,"2,083.10","2,080.73",0
4/14/2016,"2,082.89","2,082.78",0
4/13/2016,"2,065.92","2,082.42",1
4/12/2016,"2,043.72","2,061.72",1
4/11/2016,"2,050.23","2,041.99",0
4/8/2016,"2,045.54","2,047.60",1
4/7/2016,"2,063.01","2,041.91",0
4/6/2016,"2,045.56","2,066.66",1
4/5/2016,"2,062.50","2,045.17",0
4/4/2016,"2,073.19","2,066.13",0
4/1/2016,"2,056.62","2,072.78",1
3/31/2016,"2,063.77","2,059.74",0
3/30/2016,"2,058.27","2,063.95",1
3/29/2016,"2,035.75","2,055.01",1
3/28/2016,"2,037.89","2,037.05",0
3/24/2016,"2,032.48","2,035.94",1
3/23/2016,"2,048.55","2,036.71",0
3/22/2016,"2,048.64","2,049.80",1
3/21/2016,"2,047.88","2,051.60",1
3/18/2016,"2,041.16","2,049.58",1
3/17/2016,"2,026.90","2,040.59",1
3/16/2016,"2,014.24","2,027.22",1
3/15/2016,"2,015.27","2,015.93",1
3/14/2016,"2,019.27","2,019.64",1
3/11/2016,"1,994.71","2,022.19",1
3/10/2016,"1,990.97","1,989.57",0
3/9/2016,"1,981.44","1,989.26",1
3/8/2016,"1,996.88","1,979.26",0
3/7/2016,"1,996.11","2,001.76",1
3/4/2016,"1,994.01","1,999.99",1
3/3/2016,"1,985.60","1,993.40",1
3/2/2016,"1,976.60","1,986.45",1
3/1/2016,"1,937.09","1,978.35",1
2/29/2016,"1,947.13","1,932.23",0
2/26/2016,"1,954.95","1,948.05",0
2/25/2016,"1,931.87","1,951.70",1
2/24/2016,"1,917.56","1,929.80",1
2/23/2016,"1,942.38","1,921.27",0
2/22/2016,"1,924.44","1,945.50",1
2/19/2016,"1,916.74","1,917.78",1
2/18/2016,"1,927.57","1,917.83",0
2/17/2016,"1,898.80","1,926.82",1
2/16/2016,"1,871.44","1,895.58",1
2/12/2016,"1,833.40","1,864.78",1
2/11/2016,"1,847.00","1,829.08",0
2/10/2016,"1,857.10","1,851.86",0
2/9/2016,"1,848.46","1,852.21",1
2/8/2016,"1,873.25","1,853.44",0
2/5/2016,"1,913.07","1,880.05",0
