Date ,Open,Close,Label
7/1/2016,"2,086.50","2,096.25",1
6/30/2016,"2,072.25","2,090.25",1
6/29/2016,"2,028.25","2,066.75",1
6/28/2016,"1,982.50","2,028.50",1
6/27/2016,"2,013.75","1,985.00",0
6/24/2016,"2,115.75","2,018.50",0
6/23/2016,"2,083.00","2,105.75",1
6/22/2016,"2,079.25","2,076.75",0
6/21/2016,"2,079.00","2,080.50",1
6/20/2016,"2,071.00","2,074.25",1
6/17/2016,"2,077.75","2,078.50",1
6/16/2016,"2,070.50","2,079.25",1
6/15/2016,"2,072.75","2,071.75",0
6/14/2016,"2,077.00","2,074.50",0
6/13/2016,"2,089.25","2,078.75",0
6/10/2016,"2,113.75","2,096.25",0
6/9/2016,"2,117.75","2,114.25",0
6/8/2016,"2,110.25","2,118.00",1
6/7/2016,"2,108.25","2,110.25",1
6/6/2016,"2,097.50","2,108.25",1
6/3/2016,"2,103.50","2,097.75",0
6/2/2016,"2,096.75","2,103.75",1
6/1/2016,"2,094.00","2,098.00",1
5/31/2016,"2,100.00","2,095.00",0
5/27/2016,"2,090.50","2,097.25",1
5/26/2016,"2,088.75","2,089.75",1
5/25/2016,"2,075.00","2,087.25",1
5/24/2016,"2,045.00","2,075.00",1
5/23/2016,"2,053.25","2,045.25",0
5/20/2016,"2,038.75","2,050.00",1
5/19/2016,"2,043.50","2,038.75",0
5/18/2016,"2,043.75","2,041.50",0
5/17/2016,"2,062.00","2,043.50",0
5/16/2016,"2,041.25","2,062.75",1
5/13/2016,"2,059.25","2,043.50",0
5/12/2016,"2,059.00","2,058.75",0
5/11/2016,"2,077.25","2,058.00",0
5/10/2016,"2,054.00","2,077.50",1
5/9/2016,"2,053.00","2,054.25",1
5/6/2016,"2,043.50","2,052.75",1
5/5/2016,"2,046.50","2,044.00",0
5/4/2016,"2,057.50","2,047.00",0
5/3/2016,"2,075.50","2,057.00",0
5/2/2016,"2,060.75","2,074.25",1
4/29/2016,"2,073.75","2,059.00",0
4/28/2016,"2,092.50","2,072.50",0
4/27/2016,"2,082.25","2,090.75",1
4/26/2016,"2,084.25","2,088.50",1
4/25/2016,"2,091.50","2,083.25",0
4/22/2016,"2,079.75","2,086.00",1
4/21/2016,"2,097.75","2,082.75",0
4/20/2016,"2,094.25","2,098.00",1
4/19/2016,"2,085.25","2,093.75",1
4/18/2016,"2,064.25","2,086.75",1
4/15/2016,"2,077.75","2,075.00",0
4/14/2016,"2,076.25","2,076.50",1
4/13/2016,"2,055.25","2,076.00",1
4/12/2016,"2,032.50","2,055.75",1
4/11/2016,"2,041.00","2,034.50",0
4/8/2016,"2,034.50","2,040.75",1
4/7/2016,"2,059.75","2,035.00",0
4/6/2016,"2,042.00","2,060.25",1
4/5/2016,"2,055.50","2,038.75",0
4/4/2016,"2,064.00","2,057.50",0
4/1/2016,"2,052.75","2,065.00",1
3/31/2016,"2,055.50","2,051.50",0
3/30/2016,"2,048.50","2,055.25",1
3/29/2016,"2,027.75","2,047.50",1
3/28/2016,"2,030.25","2,028.00",0
3/24/2016,"2,028.00","2,028.50",1
3/23/2016,"2,043.00","2,028.75",0
3/22/2016,"2,043.25","2,042.50",0
3/21/2016,"2,036.50","2,042.75",1
3/18/2016,"2,041.50","2,048.00",1
3/17/2016,"2,026.75","2,039.75",1
3/16/2016,"2,016.25","2,027.00",1
3/15/2016,"2,019.00","2,015.75",0
3/14/2016,"2,019.25","2,018.75",0
3/11/2016,"1,988.50","2,020.00",1
3/10/2016,"1,990.00","1,988.75",0
3/9/2016,"1,981.75","1,989.00",1
3/8/2016,"1,999.00","1,981.00",0
3/7/2016,"1,994.50","1,999.00",1
3/4/2016,"1,991.00","1,995.00",1
3/3/2016,"1,981.75","1,990.50",1
3/2/2016,"1,976.25","1,983.50",1
3/1/2016,"1,928.00","1,978.00",1
2/29/2016,"1,943.00","1,929.50",0
2/26/2016,"1,949.00","1,942.75",0
2/25/2016,"1,933.00","1,950.50",1
2/24/2016,"1,914.00","1,930.25",1
2/23/2016,"1,934.00","1,916.00",0
2/22/2016,"1,911.00","1,936.25",1
2/19/2016,"1,917.50","1,914.50",0
2/18/2016,"1,926.75","1,916.50",0
2/17/2016,"1,888.25","1,922.75",1
2/16/2016,"1,865.25","1,888.75",1
2/12/2016,"1,827.25","1,858.25",1
2/11/2016,"1,842.25","1,824.50",0
2/10/2016,"1,850.00","1,846.75",0
2/9/2016,"1,849.75","1,848.25",0
2/8/2016,"1,876.25","1,852.00",0
2/5/2016,"1,905.25","1,875.25",0
2/4/2016,"1,907.75","1,907.75",1
2/3/2016,"1,895.00","1,908.50",1
2/2/2016,"1,928.50","1,897.50",0
2/1/2016,"1,929.75","1,931.25",1
1/29/2016,"1,878.75","1,930.00",1
1/28/2016,"1,880.00","1,880.75",1
1/27/2016,"1,885.25","1,875.00",0
1/26/2016,"1,871.75","1,896.00",1
1/25/2016,"1,899.50","1,870.25",0
1/22/2016,"1,858.50","1,899.25",1
1/21/2016,"1,854.75","1,861.00",1
1/20/2016,"1,871.75","1,855.00",0
1/19/2016,"1,869.75","1,873.00",1
1/15/2016,"1,913.50","1,875.00",0
1/14/2016,"1,883.75","1,914.50",1
1/13/2016,"1,922.50","1,881.50",0
1/12/2016,"1,913.50","1,925.00",1
1/11/2016,"1,909.25","1,914.25",1
1/8/2016,"1,936.50","1,911.50",0
1/7/2016,"1,987.75","1,933.00",0
1/6/2016,"2,010.75","1,986.00",0
1/5/2016,"2,009.00","2,011.75",1
1/4/2016,"2,037.75","2,009.00",0
12/31/2015,"2,055.25","2,035.50",0
12/30/2015,"2,072.00","2,054.50",0
12/29/2015,"2,049.75","2,072.75",1
12/28/2015,"2,051.25","2,048.75",0
12/24/2015,"2,052.75","2,051.25",0
12/23/2015,"2,034.00","2,053.00",1
12/22/2015,"2,017.00","2,036.00",1
12/21/2015,"1,997.25","2,015.00",1
12/18/2015,"2,033.25","2,032.50",0
12/17/2015,"2,069.75","2,034.25",0
12/16/2015,"2,046.00","2,072.00",1
12/15/2015,"2,021.75","2,045.50",1
12/14/2015,"2,008.00","2,018.50",1
12/11/2015,"2,050.75","2,009.75",0
12/10/2015,"2,045.75","2,049.25",1
12/9/2015,"2,059.50","2,042.00",0
12/8/2015,"2,080.00","2,058.75",0
12/7/2015,"2,092.25","2,081.00",0
12/4/2015,"2,053.25","2,088.50",1
12/3/2015,"2,083.25","2,051.25",0
12/2/2015,"2,099.50","2,081.50",0
12/1/2015,"2,085.50","2,100.00",1
11/30/2015,"2,089.50","2,079.75",0
11/27/2015,"2,089.50","2,090.00",1
11/25/2015,"2,084.00","2,088.00",1
11/24/2015,"2,083.00","2,084.75",1
11/23/2015,"2,089.75","2,084.25",0
11/20/2015,"2,078.25","2,088.75",1
11/19/2015,"2,078.25","2,079.25",1
11/18/2015,"2,049.75","2,079.75",1
11/17/2015,"2,047.75","2,049.00",1
11/16/2015,"2,006.50","2,048.00",1
11/13/2015,"2,040.50","2,018.50",0
11/12/2015,"2,068.50","2,040.50",0
11/11/2015,"2,076.50","2,069.00",0
11/10/2015,"2,072.25","2,078.00",1
11/9/2015,"2,092.00","2,073.00",0
11/6/2015,"2,094.75","2,093.75",0
11/5/2015,"2,095.50","2,094.00",0
11/4/2015,"2,102.50","2,094.75",0
11/3/2015,"2,093.25","2,103.00",1
11/2/2015,"2,073.00","2,095.50",1
10/30/2015,"2,084.75","2,073.75",0
10/29/2015,"2,081.00","2,083.00",1
10/28/2015,"2,062.00","2,084.50",1
10/27/2015,"2,063.75","2,060.50",0
10/26/2015,"2,066.00","2,062.25",0
10/23/2015,"2,054.25","2,066.00",1
10/22/2015,"2,010.50","2,053.00",1
10/21/2015,"2,019.75","2,008.50",0
10/20/2015,"2,026.50","2,020.50",0
10/19/2015,"2,024.50","2,027.50",1
10/16/2015,"2,018.25","2,025.50",1
10/15/2015,"1,985.75","2,019.00",1
10/14/2015,"1,991.50","1,984.00",0
10/13/2015,"2,012.00","1,994.00",0
10/12/2015,"2,005.25","2,011.00",1
10/9/2015,"2,004.00","2,007.50",1
10/8/2015,"1,987.75","2,006.50",1
